Agency Department,State,Talent Size,Estimated Layoff
National Mediation Board,New Jersey,10,0
National Mediation Board,North Carolina,10,0
National Mediation Board,Texas,10,0
National Mediation Board,Virginia,10,0
National Science Foundation,Alabama,20,0
National Science Foundation,Alaska,0,0
National Science Foundation,Arizona,30,0
National Science Foundation,Arkansas,0,0
National Science Foundation,California,170,0
National Science Foundation,Colorado,160,0
National Science Foundation,Connecticut,20,0
National Science Foundation,Delaware,10,0
National Science Foundation,Florida,110,0
National Science Foundation,Georgia,90,0
National Science Foundation,Hawaii,10,0
National Science Foundation,Illinois,80,0
National Science Foundation,Indiana,50,0
National Science Foundation,Iowa,20,0
National Science Foundation,Kansas,10,0
National Science Foundation,Kentucky,20,0
National Science Foundation,Louisiana,20,0
National Science Foundation,Maine,10,0
National Science Foundation,Massachusetts,80,0
National Science Foundation,Michigan,80,0
National Science Foundation,Minnesota,20,0
National Science Foundation,Mississippi,20,0
National Science Foundation,Missouri,50,0
National Science Foundation,Montana,20,0
National Science Foundation,Nevada,10,0
National Science Foundation,New Hampshire,20,0
National Science Foundation,New Jersey,80,0
National Science Foundation,New Mexico,30,0
National Science Foundation,New York,180,0
National Science Foundation,North Carolina,110,0
National Science Foundation,Ohio,70,0
National Science Foundation,Oklahoma,10,0
National Science Foundation,Oregon,30,0
National Science Foundation,Pennsylvania,110,0
National Science Foundation,Rhode Island,10,0
National Science Foundation,South Carolina,20,0
National Science Foundation,Tennessee,50,0
National Science Foundation,Texas,110,0
National Science Foundation,Utah,20,0
National Science Foundation,Washington,50,0
National Science Foundation,West Virginia,10,0
National Science Foundation,Wisconsin,30,0
National Transportation Safety Board,Alaska,30,0
National Transportation Safety Board,Arizona,10,0
National Transportation Safety Board,Arkansas,20,0
National Transportation Safety Board,California,70,0
National Transportation Safety Board,Colorado,90,0
National Transportation Safety Board,Florida,60,0
National Transportation Safety Board,Georgia,30,0
National Transportation Safety Board,Idaho,10,0
National Transportation Safety Board,Illinois,40,0
National Transportation Safety Board,Indiana,10,0
National Transportation Safety Board,Maine,20,0
National Transportation Safety Board,Maryland,20,0
National Transportation Safety Board,Massachusetts,10,0
National Transportation Safety Board,Michigan,10,0
National Transportation Safety Board,Minnesota,20,0
National Transportation Safety Board,Missouri,10,0
National Transportation Safety Board,Montana,30,0
National Transportation Safety Board,New Hampshire,10,0
National Transportation Safety Board,New Jersey,10,0
National Transportation Safety Board,North Carolina,30,0
National Transportation Safety Board,North Dakota,10,0
National Transportation Safety Board,Ohio,10,0
National Transportation Safety Board,Oklahoma,10,0
National Transportation Safety Board,Oregon,10,0
National Transportation Safety Board,Pennsylvania,10,0
National Transportation Safety Board,South Carolina,10,0
National Transportation Safety Board,Texas,60,0
National Transportation Safety Board,Virginia,30,0
National Transportation Safety Board,Washington,60,0
National Transportation Safety Board,Wisconsin,20,0
Northern Border Regional Commission,New Hampshire,30,0
Nuclear Regulatory Commission,Alabama,10,0
Nuclear Regulatory Commission,Arizona,40,0
Nuclear Regulatory Commission,California,80,0
Nuclear Regulatory Commission,Colorado,60,0
Nuclear Regulatory Commission,Connecticut,20,0
Nuclear Regulatory Commission,Delaware,30,0
Nuclear Regulatory Commission,Florida,210,0
Nuclear Regulatory Commission,Hawaii,20,0
Nuclear Regulatory Commission,Idaho,20,0
Nuclear Regulatory Commission,Indiana,40,0
Nuclear Regulatory Commission,Kansas,20,0
Nuclear Regulatory Commission,Kentucky,10,0
Nuclear Regulatory Commission,Louisiana,20,0
Nuclear Regulatory Commission,Maine,10,0
Nuclear Regulatory Commission,Massachusetts,40,0
Nuclear Regulatory Commission,Michigan,50,0
Nuclear Regulatory Commission,Minnesota,20,0
Nuclear Regulatory Commission,Missouri,60,0
Nuclear Regulatory Commission,Nebraska,10,0
Nuclear Regulatory Commission,Nevada,10,0
Nuclear Regulatory Commission,New Hampshire,30,0
Nuclear Regulatory Commission,New Jersey,40,0
Nuclear Regulatory Commission,New Mexico,10,0
Nuclear Regulatory Commission,New York,150,0
Nuclear Regulatory Commission,North Carolina,140,0
Nuclear Regulatory Commission,Ohio,80,0
Nuclear Regulatory Commission,Oklahoma,10,0
Nuclear Regulatory Commission,Oregon,10,0
Nuclear Regulatory Commission,South Carolina,80,0
Nuclear Regulatory Commission,South Dakota,10,0
Nuclear Regulatory Commission,Utah,10,0
Nuclear Regulatory Commission,Vermont,10,0
Nuclear Regulatory Commission,Virginia,140,0
Nuclear Regulatory Commission,Washington,10,0
Nuclear Regulatory Commission,West Virginia,10,0
Nuclear Regulatory Commission,Wisconsin,50,0
Nuclear Waste Technical Review Board,Colorado,0,0
Nuclear Waste Technical Review Board,Maryland,10,0
Nuclear Waste Technical Review Board,Massachusetts,10,0
Nuclear Waste Technical Review Board,Nevada,10,0
Nuclear Waste Technical Review Board,North Carolina,0,0
Nuclear Waste Technical Review Board,Oregon,10,0
Nuclear Waste Technical Review Board,Texas,0,0
Nuclear Waste Technical Review Board,Virginia,100,0
Nuclear Waste Technical Review Board,Washington,0,0
Occupational Safety and Health Review Commission,California,20,0
Occupational Safety and Health Review Commission,Colorado,70,0
Occupational Safety and Health Review Commission,Georgia,40,0
Occupational Safety and Health Review Commission,New York,0,0
Occupational Safety and Health Review Commission,Utah,10,0
Office of Administration,Georgia,10,0
Office of Administration,New York,10,0
Office of Administration,Rhode Island,10,0
Office of Administration,Tennessee,10,0
Office of Administration,Washington,10,0
Office of Administration,West Virginia,10,0
Office of Government Ethics,California,20,0
Office of Government Ethics,Colorado,10,0
Office of Government Ethics,Florida,20,0
Office of Government Ethics,Georgia,10,0
Office of Government Ethics,Maryland,260,0
Office of Government Ethics,Massachusetts,10,0
Office of Government Ethics,Pennsylvania,30,0
Office of Government Ethics,Texas,20,0
Office of Government Ethics,Virginia,180,0
Office of Government Ethics,West Virginia,0,0
Office of Inspector General,Alabama,70,0
Office of Inspector General,Arizona,80,0
Office of Inspector General,Connecticut,60,0
Office of Inspector General,Delaware,10,0
Office of Inspector General,Hawaii,10,0
Office of Inspector General,Idaho,10,0
Office of Inspector General,Indiana,100,0
Office of Inspector General,Iowa,100,0
Office of Inspector General,Kansas,120,0
Office of Inspector General,Kentucky,40,0
Office of Inspector General,Louisiana,130,0
Office of Inspector General,Michigan,110,0
Office of Inspector General,Minnesota,100,0
Office of Inspector General,Mississippi,10,0
Office of Inspector General,Nebraska,50,0
Office of Inspector General,Nevada,40,0
Office of Inspector General,New Hampshire,20,0
Office of Inspector General,New Mexico,20,0
Office of Inspector General,North Carolina,170,0
Office of Inspector General,Oklahoma,110,0
Office of Inspector General,Rhode Island,10,0
Office of Inspector General,South Carolina,100,0
Office of Inspector General,South Dakota,10,0
Office of Inspector General,Tennessee,50,0
Office of Inspector General,Utah,10,0
Office of Inspector General,Washington,180,0
Office of Inspector General,West Virginia,50,0
Office of Inspector General,Wisconsin,80,0
Office of Management and Budget,Alabama,10,0
Office of Management and Budget,Arkansas,0,0
Office of Management and Budget,Colorado,60,0
Office of Management and Budget,Connecticut,0,0
Office of Management and Budget,Florida,60,0
Office of Management and Budget,Georgia,50,0
Office of Management and Budget,Indiana,10,0
Office of Management and Budget,Iowa,0,0
Office of Management and Budget,Maine,10,0
Office of Management and Budget,Maryland,10,0
Office of Management and Budget,Massachusetts,80,0
Office of Management and Budget,Minnesota,20,0
Office of Management and Budget,Missouri,10,0
Office of Management and Budget,Montana,10,0
Office of Management and Budget,New Jersey,90,0
Office of Management and Budget,New Mexico,10,0
Office of Management and Budget,North Carolina,60,0
Office of Management and Budget,Ohio,20,0
Office of Management and Budget,Oregon,50,0
Office of Management and Budget,Pennsylvania,40,0
Office of Management and Budget,South Carolina,20,0
Office of Management and Budget,South Dakota,10,0
Office of Management and Budget,Tennessee,10,0
Office of Management and Budget,Utah,20,0
Office of Management and Budget,Vermont,10,0
Office of Management and Budget,Virginia,10,0
Office of Management and Budget,Washington,70,0
Office of Management and Budget,Wisconsin,30,0
Office of National Drug Control Policy,Virginia,10,0
Office of Navajo and Hopi Indian Relocation,Arizona,180,0
Office of Personnel Management,Alabama,110,0
Office of Personnel Management,Arizona,70,0
Office of Personnel Management,Arkansas,10,0
Office of Personnel Management,Connecticut,100,0
Office of Personnel Management,Delaware,50,0
Office of Personnel Management,Hawaii,40,0
Office of Personnel Management,Idaho,30,0
Office of Personnel Management,Illinois,270,0
Office of Personnel Management,Indiana,80,0
Office of Personnel Management,Iowa,30,0
Office of Personnel Management,Kentucky,60,0
Office of Personnel Management,Louisiana,70,0
Office of Personnel Management,Maine,60,0
Office of Personnel Management,Massachusetts,90,0
Office of Personnel Management,Michigan,70,0
Office of Personnel Management,Minnesota,130,0
Office of Personnel Management,Mississippi,20,0
Office of Personnel Management,Nebraska,40,0
Office of Personnel Management,New Hampshire,10,0
Office of Personnel Management,New Jersey,250,0
Office of Personnel Management,New Mexico,20,0
Office of Personnel Management,North Carolina,310,0
Office of Personnel Management,Ohio,320,0
Office of Personnel Management,Oklahoma,70,0
Office of Personnel Management,Oregon,40,0
Office of Personnel Management,Rhode Island,10,0
Office of Personnel Management,South Carolina,130,0
Office of Personnel Management,Tennessee,120,0
Office of Personnel Management,Utah,10,0
Office of Personnel Management,Washington,150,0
Office of Personnel Management,West Virginia,160,0
Office of Personnel Management,Wisconsin,70,0
Office of Personnel Management,Wyoming,10,0
Office of Science and Technology Policy,California,0,0
Office of Special Counsel,California,60,0
Office of Special Counsel,Colorado,10,0
Office of Special Counsel,Florida,20,0
Office of Special Counsel,Georgia,20,0
Office of Special Counsel,Maine,10,0
Office of Special Counsel,Massachusetts,20,0
Office of Special Counsel,Michigan,70,0
Office of Special Counsel,Montana,10,0
Office of Special Counsel,New York,20,0
Office of Special Counsel,Ohio,20,0
Office of Special Counsel,Oregon,10,0
Office of Special Counsel,Rhode Island,10,0
Office of Special Counsel,Tennessee,0,0
Office of Special Counsel,Texas,80,0
Office of Special Counsel,Virginia,10,0
Office of the Committee for Purchase From People Who Are Blind or Severely Disabled,Alabama,20,0
Office of the Committee for Purchase From People Who Are Blind or Severely Disabled,California,30,0
Office of the Committee for Purchase From People Who Are Blind or Severely Disabled,Florida,30,0
Office of the Committee for Purchase From People Who Are Blind or Severely Disabled,Georgia,10,0
Office of the Committee for Purchase From People Who Are Blind or Severely Disabled,Kentucky,10,0
Office of the Committee for Purchase From People Who Are Blind or Severely Disabled,Louisiana,10,0
Office of the Committee for Purchase From People Who Are Blind or Severely Disabled,Maryland,50,0
Office of the Committee for Purchase From People Who Are Blind or Severely Disabled,Massachusetts,10,0
Office of the Committee for Purchase From People Who Are Blind or Severely Disabled,Michigan,10,0
Office of the Committee for Purchase From People Who Are Blind or Severely Disabled,Texas,30,0
Office of the Committee for Purchase From People Who Are Blind or Severely Disabled,Virginia,90,0
Office of the Committee for Purchase From People Who Are Blind or Severely Disabled,Washington,10,0
Office of the U.S. Trade Representative,Florida,20,0
Office of the U.S. Trade Representative,Massachusetts,10,0
Office of the U.S. Trade Representative,Montana,10,0
Office of the U.S. Trade Representative,South Carolina,0,0
Office of the U.S. Trade Representative,Virginia,10,0
Peace Corps,Alabama,10,0
Peace Corps,Arizona,30,0
Peace Corps,Colorado,130,0
Peace Corps,Connecticut,30,0
Peace Corps,Delaware,10,0
Peace Corps,Florida,240,0
Peace Corps,Georgia,90,0
Peace Corps,Hawaii,20,0
Peace Corps,Indiana,20,0
Peace Corps,Iowa,20,0
Peace Corps,Kansas,20,0
Peace Corps,Kentucky,60,0
Peace Corps,Louisiana,10,0
Peace Corps,Maine,20,0
Peace Corps,Massachusetts,40,0
Peace Corps,Michigan,60,0
Peace Corps,Minnesota,80,0
Peace Corps,Mississippi,10,0
Peace Corps,Missouri,20,0
Peace Corps,Montana,10,0
Peace Corps,Nevada,10,0
Peace Corps,New Hampshire,20,0
Peace Corps,New Jersey,70,0
Peace Corps,New Mexico,20,0
Peace Corps,New York,140,0
Peace Corps,North Carolina,90,0
Peace Corps,Ohio,50,0
Peace Corps,Oklahoma,10,0
Peace Corps,Oregon,50,0
Peace Corps,Pennsylvania,150,0
Peace Corps,Rhode Island,20,0
Peace Corps,South Carolina,60,0
Peace Corps,Tennessee,70,0
Peace Corps,Utah,10,0
Peace Corps,Vermont,20,0
Peace Corps,Washington,120,0
Peace Corps,West Virginia,10,0
Peace Corps,Wisconsin,30,0
Pension Benefit Guaranty Corporation,Alaska,10,0
Pension Benefit Guaranty Corporation,Arizona,0,0
Pension Benefit Guaranty Corporation,California,50,0
Pension Benefit Guaranty Corporation,Colorado,20,0
Pension Benefit Guaranty Corporation,Connecticut,0,0
Pension Benefit Guaranty Corporation,Delaware,30,0
Pension Benefit Guaranty Corporation,Florida,110,0
Pension Benefit Guaranty Corporation,Georgia,60,0
Pension Benefit Guaranty Corporation,Indiana,10,0
Pension Benefit Guaranty Corporation,Kansas,10,0
Pension Benefit Guaranty Corporation,Maine,10,0
Pension Benefit Guaranty Corporation,Massachusetts,0,0
Pension Benefit Guaranty Corporation,Michigan,50,0
Pension Benefit Guaranty Corporation,Minnesota,10,0
Pension Benefit Guaranty Corporation,Missouri,30,0
Pension Benefit Guaranty Corporation,Nebraska,0,0
Pension Benefit Guaranty Corporation,New Hampshire,10,0
Pension Benefit Guaranty Corporation,New Jersey,60,0
Pension Benefit Guaranty Corporation,New York,80,0
Pension Benefit Guaranty Corporation,North Carolina,60,0
Pension Benefit Guaranty Corporation,Ohio,100,0
Pension Benefit Guaranty Corporation,Oregon,10,0
Pension Benefit Guaranty Corporation,Pennsylvania,100,0
Pension Benefit Guaranty Corporation,South Carolina,30,0
Pension Benefit Guaranty Corporation,South Dakota,10,0
Pension Benefit Guaranty Corporation,Tennessee,20,0
Pension Benefit Guaranty Corporation,Texas,130,0
Pension Benefit Guaranty Corporation,Utah,10,0
Pension Benefit Guaranty Corporation,Washington,10,0
Pension Benefit Guaranty Corporation,West Virginia,20,0
Pension Benefit Guaranty Corporation,Wisconsin,10,0
Presidio Trust,Arizona,10,0
Presidio Trust,Georgia,20,0
Presidio Trust,Hawaii,10,0
Presidio Trust,Idaho,20,0
Presidio Trust,New Jersey,10,0
Presidio Trust,Oklahoma,10,0
Presidio Trust,Tennessee,10,0
Presidio Trust,Texas,10,0
Presidio Trust,Utah,10,0
Presidio Trust,Virginia,10,0
Presidio Trust,Wyoming,10,0
Privacy and Civil Liberties Oversight Board,Maryland,10,0
Privacy and Civil Liberties Oversight Board,Massachusetts,10,0
Privacy and Civil Liberties Oversight Board,Oklahoma,0,0
Privacy and Civil Liberties Oversight Board,Virginia,10,0
Public Buildings Reform Board,Florida,10,0
Public Buildings Reform Board,Kentucky,10,0
Public Buildings Reform Board,Maryland,10,0
Public Buildings Reform Board,Massachusetts,10,0
Public Buildings Reform Board,New York,10,0
Public Buildings Reform Board,Virginia,20,0
Public Interest Declassification Board,California,20,0
Public Interest Declassification Board,Pennsylvania,10,0
Railroad Retirement Board,Alabama,50,0
Railroad Retirement Board,Arizona,50,0
Railroad Retirement Board,Arkansas,40,0
Railroad Retirement Board,Colorado,40,0
Railroad Retirement Board,Georgia,90,0
Railroad Retirement Board,Indiana,70,0
Railroad Retirement Board,Iowa,30,0
Railroad Retirement Board,Kansas,20,0
Railroad Retirement Board,Kentucky,20,0
Railroad Retirement Board,Louisiana,60,0
Railroad Retirement Board,Maryland,60,0
Railroad Retirement Board,Massachusetts,60,0
Railroad Retirement Board,Michigan,50,0
Railroad Retirement Board,Minnesota,80,0
Railroad Retirement Board,Missouri,140,0
Railroad Retirement Board,Montana,40,0
Railroad Retirement Board,Nebraska,40,0
Railroad Retirement Board,Nevada,10,0
Railroad Retirement Board,New Jersey,40,0
Railroad Retirement Board,New Mexico,30,0
Railroad Retirement Board,North Carolina,70,0
Railroad Retirement Board,North Dakota,40,0
Railroad Retirement Board,Ohio,100,0
Railroad Retirement Board,Oregon,50,0
Railroad Retirement Board,Tennessee,70,0
Railroad Retirement Board,Utah,30,0
Railroad Retirement Board,Virginia,130,0
Railroad Retirement Board,Washington,70,0
Railroad Retirement Board,West Virginia,60,0
Railroad Retirement Board,Wisconsin,40,0
Securities and Exchange Commission,Arkansas,10,0
Securities and Exchange Commission,Connecticut,10,0
Securities and Exchange Commission,Delaware,10,0
Securities and Exchange Commission,Kansas,10,0
Securities and Exchange Commission,Kentucky,10,0
Securities and Exchange Commission,Louisiana,0,0
Securities and Exchange Commission,Michigan,10,0
Securities and Exchange Commission,Minnesota,10,0
Securities and Exchange Commission,Missouri,20,0
Securities and Exchange Commission,Nevada,20,0
Securities and Exchange Commission,New Hampshire,40,0
Securities and Exchange Commission,New Jersey,130,0
Securities and Exchange Commission,North Carolina,50,0
Securities and Exchange Commission,Ohio,20,0
Securities and Exchange Commission,Oklahoma,30,0
Securities and Exchange Commission,Oregon,20,0
Securities and Exchange Commission,Rhode Island,0,0
Securities and Exchange Commission,South Carolina,30,0
Securities and Exchange Commission,Tennessee,20,0
Securities and Exchange Commission,Utah,200,0
Securities and Exchange Commission,Washington,0,0
Securities and Exchange Commission,West Virginia,10,0
Securities and Exchange Commission,Wisconsin,10,0
Selective Service System,Alabama,10,0
Selective Service System,Alaska,10,0
Selective Service System,Arkansas,10,0
Selective Service System,California,10,0
Selective Service System,Colorado,90,0
Selective Service System,Connecticut,0,0
Selective Service System,Delaware,0,0
Selective Service System,Florida,10,0
Selective Service System,Georgia,110,0
Selective Service System,Hawaii,10,0
Selective Service System,Idaho,10,0
Selective Service System,Indiana,10,0
Selective Service System,Iowa,10,0
Selective Service System,Kansas,10,0
Selective Service System,Kentucky,10,0
Selective Service System,Louisiana,0,0
Selective Service System,Maine,10,0
Selective Service System,Maryland,20,0
Selective Service System,Massachusetts,10,0
Selective Service System,Minnesota,10,0
Selective Service System,Mississippi,10,0
Selective Service System,Missouri,10,0
Selective Service System,Montana,10,0
Selective Service System,Nebraska,10,0
Selective Service System,Nevada,10,0
Selective Service System,New Hampshire,10,0
Selective Service System,New Jersey,10,0
Selective Service System,New Mexico,0,0
Selective Service System,New York,10,0
Selective Service System,North Carolina,20,0
Selective Service System,North Dakota,10,0
Selective Service System,Ohio,20,0
Selective Service System,Oklahoma,10,0
Selective Service System,Oregon,10,0
Selective Service System,Pennsylvania,10,0
Selective Service System,Rhode Island,10,0
Selective Service System,South Carolina,10,0
Selective Service System,South Dakota,10,0
Selective Service System,Tennessee,10,0
Selective Service System,Texas,10,0
Selective Service System,Utah,10,0
Selective Service System,Vermont,10,0
Selective Service System,Washington,10,0
Selective Service System,West Virginia,10,0
Selective Service System,Wisconsin,10,0
Selective Service System,Wyoming,10,0
Small Business Administration,Alaska,150,0
Small Business Administration,Connecticut,130,0
Small Business Administration,Delaware,160,0
Small Business Administration,Idaho,110,0
Small Business Administration,Iowa,140,0
Small Business Administration,Kansas,210,0
Small Business Administration,Maine,100,0
Small Business Administration,Minnesota,260,0
Small Business Administration,Montana,130,0
Small Business Administration,Nebraska,160,0
Small Business Administration,New Hampshire,180,0
Small Business Administration,New Mexico,230,0
Small Business Administration,North Dakota,80,0
Small Business Administration,Oregon,230,0
Small Business Administration,Rhode Island,100,0
Small Business Administration,South Dakota,80,0
Small Business Administration,Utah,260,0
Small Business Administration,Vermont,110,0
Small Business Administration,West Virginia,190,0
Small Business Administration,Wisconsin,260,0
Small Business Administration,Wyoming,90,0
Smithsonian Institution,Alabama,10,0
Smithsonian Institution,Alaska,10,0
Smithsonian Institution,Arizona,120,0
Smithsonian Institution,California,50,0
Smithsonian Institution,Colorado,10,0
Smithsonian Institution,Florida,40,0
Smithsonian Institution,Georgia,20,0
Smithsonian Institution,Hawaii,170,0
Smithsonian Institution,Illinois,10,0
Smithsonian Institution,Kentucky,10,0
Smithsonian Institution,Michigan,10,0
Smithsonian Institution,Minnesota,10,0
Smithsonian Institution,Montana,10,0
Smithsonian Institution,Nebraska,10,0
Smithsonian Institution,North Carolina,40,0
Smithsonian Institution,Ohio,10,0
Smithsonian Institution,Oklahoma,10,0
Smithsonian Institution,Oregon,10,0
Smithsonian Institution,Pennsylvania,20,0
Smithsonian Institution,Rhode Island,10,0
Smithsonian Institution,South Carolina,10,0
Smithsonian Institution,Tennessee,10,0
Smithsonian Institution,Texas,40,0
Smithsonian Institution,Vermont,30,0
Smithsonian Institution,Washington,10,0
Smithsonian Institution,West Virginia,20,0
Smithsonian Institution,Wisconsin,10,0
Surface Transportation Board,Georgia,10,0
Surface Transportation Board,Maryland,0,0
Surface Transportation Board,Mississippi,10,0
Surface Transportation Board,New Jersey,10,0
Surface Transportation Board,Ohio,10,0
Surface Transportation Board,Texas,10,0
Surface Transportation Board,Virginia,10,0
The US Semiquincentennial Commission,North Carolina,10,0
The US Semiquincentennial Commission,Pennsylvania,20,0
The US Semiquincentennial Commission,Virginia,10,0
Trade and Development Agency,California,30,0
Trade and Development Agency,Florida,10,0
Trade and Development Agency,Idaho,10,0
Trade and Development Agency,Illinois,10,0
Trade and Development Agency,Nebraska,0,0
Trade and Development Agency,New York,10,0
Trade and Development Agency,Oregon,10,0
Trade and Development Agency,Texas,0,0
U.S. Agency for Global Media,Arizona,10,0
U.S. Agency for Global Media,California,40,0
U.S. Agency for Global Media,Colorado,10,0
U.S. Agency for Global Media,Illinois,30,0
U.S. Agency for Global Media,Indiana,10,0
U.S. Agency for Global Media,Kentucky,10,0
U.S. Agency for Global Media,Nevada,10,0
U.S. Agency for Global Media,New Hampshire,10,0
U.S. Agency for Global Media,New York,150,0
U.S. Agency for Global Media,North Carolina,110,0
U.S. Agency for Global Media,Oregon,10,0
U.S. Agency for Global Media,Pennsylvania,10,0
U.S. Agency for Global Media,Texas,20,0
U.S. Agency for Global Media,Utah,10,0
U.S. Agency for Global Media,Vermont,10,0
U.S. Agency for Global Media,Virginia,430,0
U.S. Agency for Global Media,West Virginia,10,0
U.S. Agency for Global Media,Wisconsin,0,0
U.S. Agency for International Development,Alabama,40,0
U.S. Agency for International Development,Alaska,10,0
U.S. Agency for International Development,Arizona,10,0
U.S. Agency for International Development,California,440,0
U.S. Agency for International Development,Colorado,180,0
U.S. Agency for International Development,Connecticut,30,0
U.S. Agency for International Development,Delaware,30,0
U.S. Agency for International Development,Florida,350,0
U.S. Agency for International Development,Georgia,160,0
U.S. Agency for International Development,Hawaii,30,0
U.S. Agency for International Development,Idaho,10,0
U.S. Agency for International Development,Illinois,60,0
U.S. Agency for International Development,Iowa,10,0
U.S. Agency for International Development,Kansas,50,0
U.S. Agency for International Development,Kentucky,50,0
U.S. Agency for International Development,Louisiana,20,0
U.S. Agency for International Development,Maine,20,0
U.S. Agency for International Development,Massachusetts,140,0
U.S. Agency for International Development,Michigan,40,0
U.S. Agency for International Development,Minnesota,40,0
U.S. Agency for International Development,Missouri,50,0
U.S. Agency for International Development,Montana,20,0
U.S. Agency for International Development,Nebraska,10,0
U.S. Agency for International Development,Nevada,10,0
U.S. Agency for International Development,New Hampshire,20,0
U.S. Agency for International Development,New Jersey,60,0
U.S. Agency for International Development,New Mexico,30,0
U.S. Agency for International Development,New York,250,0
U.S. Agency for International Development,North Carolina,240,0
U.S. Agency for International Development,Ohio,70,0
U.S. Agency for International Development,Oklahoma,20,0
U.S. Agency for International Development,Oregon,70,0
U.S. Agency for International Development,Pennsylvania,130,0
U.S. Agency for International Development,South Carolina,60,0
U.S. Agency for International Development,Tennessee,10,0
U.S. Agency for International Development,Texas,300,0
U.S. Agency for International Development,Utah,30,0
U.S. Agency for International Development,Vermont,40,0
U.S. Agency for International Development,Washington,130,0
U.S. Agency for International Development,West Virginia,20,0
U.S. Agency for International Development,Wisconsin,40,0
U.S. Agency for International Development,Wyoming,10,0
U.S. Holocaust Memorial Museum,Maryland,300,0
U.S. Holocaust Memorial Museum,Mississippi,10,0
U.S. Holocaust Memorial Museum,North Carolina,10,0
U.S. Interagency Council on Homelessness,Arizona,10,0
U.S. Interagency Council on Homelessness,California,10,0
U.S. Interagency Council on Homelessness,Delaware,10,0
U.S. Interagency Council on Homelessness,Louisiana,10,0
U.S. Interagency Council on Homelessness,Michigan,10,0
U.S. Interagency Council on Homelessness,Pennsylvania,10,0
U.S. Interagency Council on Homelessness,Virginia,20,0
U.S. Interagency Council on Homelessness,Washington,10,0
U.S. International Trade Commission,Florida,20,0
U.S. International Trade Commission,Idaho,10,0
U.S. International Trade Commission,Pennsylvania,10,0
Utah Reclamation Mitigation and Conservation Commission,Utah,140,0
